"id","description","invoice_label","name","sequence","amount","amount_type","type_tax_use","tax_group_id","active","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@it","children_tax_ids","l10n_it_exempt_reason","l10n_it_law_reference","description@it"
"00dia","Declaration of Intent Purchase","0%","0% E Acq","951","0.0","percent","purchase","tax_group_fuori","","","base","invoice","+03","","","0% E Acq","","N3.5","art. 8, c. 1, lett. c) D.P.R. 633/1972","Dichiarazione di Intento Acquisti"
"","","","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","","","base","refund","-03","","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","","","",""
